Mo,W,S,Se,Te
25.0,0.0,50.0,0.0,0.0
25.0,0.0,48.0,1.0,1.0
25.0,0.0,46.0,2.0,2.0
25.0,0.0,44.0,3.0,3.0
25.0,0.0,42.0,4.0,4.0
25.0,0.0,40.0,5.0,5.0
25.0,0.0,38.0,6.0,6.0
25.0,0.0,36.0,7.0,7.0
25.0,0.0,34.0,8.0,8.0
25.0,0.0,32.0,9.0,9.0
25.0,0.0,30.0,10.0,10.0
25.0,0.0,28.0,11.0,11.0
25.0,0.0,26.0,12.0,12.0
25.0,0.0,24.0,13.0,13.0
25.0,0.0,22.0,14.0,14.0
25.0,0.0,20.0,15.0,15.0
25.0,0.0,18.0,16.0,16.0
25.0,0.0,16.0,17.0,17.0
25.0,0.0,14.0,18.0,18.0
25.0,0.0,12.0,19.0,19.0
25.0,0.0,10.0,20.0,20.0
25.0,0.0,8.0,21.0,21.0
25.0,0.0,6.0,22.0,22.0
25.0,0.0,4.0,23.0,23.0
25.0,0.0,2.0,24.0,24.0
25.0,0.0,0.0,25.0,25.0             
 
