Mo,W,S,Se,Te
0.0,25.0,0.0,50.0,0.0
1.0,24.0,1.0,48.0,1.0
2.0,23.0,2.0,46.0,2.0
3.0,22.0,3.0,44.0,3.0
4.0,21.0,4.0,42.0,4.0
5.0,20.0,5.0,40.0,5.0
6.0,19.0,6.0,38.0,6.0
7.0,18.0,7.0,36.0,7.0
8.0,17.0,8.0,34.0,8.0
9.0,16.0,9.0,32.0,9.0
10.0,15.0,10.0,30.0,10.0
11.0,14.0,11.0,28.0,11.0
12.0,13.0,12.0,26.0,12.0
13.0,12.0,13.0,24.0,13.0
14.0,11.0,14.0,22.0,14.0
15.0,10.0,15.0,20.0,15.0
16.0,9.0,16.0,18.0,16.0
17.0,8.0,17.0,16.0,17.0
18.0,7.0,18.0,14.0,18.0
19.0,6.0,19.0,12.0,19.0
20.0,5.0,20.0,10.0,20.0
21.0,4.0,21.0,8.0,21.0
22.0,3.0,22.0,6.0,22.0
23.0,2.0,23.0,4.0,23.0
24.0,1.0,24.0,2.0,24.0
25.0,0.0,25.0,0.0,25.0             
 
