Mo,W,S,Se,Te,bandgap
25.0,0.0,50.0,0.0,0.0,1.6635
25.0,0.0,0.0,50.0,0.0,1.4453
25.0,0.0,0.0,0.0,50.0,1.0801
0.0,25.0,50.0,0.0,0.0,1.8089
0.0,25.0,0.0,50.0,0.0,1.5415
0.0,25.0,0.0,0.0,50.0,1.0664
5.0,20.0,50.0,0.0,0.0,1.7595
10.0,15.0,50.0,0.0,0.0,1.7257
15.0,10.0,50.0,0.0,0.0,1.7028
20.0,5.0,50.0,0.0,0.0,1.6848
5.0,20.0,0.0,50.0,0.0,1.5024
10.0,15.0,0.0,50.0,0.0,1.4751
15.0,10.0,0.0,50.0,0.0,1.4580
20.0,5.0,0.0,50.0,0.0,1.4488
5.0,20.0,0.0,0.0,50.0,1.0634
10.0,15.0,0.0,0.0,50.0,1.0628
15.0,10.0,0.0,0.0,50.0,1.0656
20.0,5.0,0.0,0.0,50.0,1.0723
25.0,0.0,5.0,45.0,0.0,1.4576
25.0,0.0,10.0,40.0,0.0,1.4717
25.0,0.0,15.0,35.0,0.0,1.4904
25.0,0.0,20.0,30.0,0.0,1.5102
25.0,0.0,25.0,25.0,0.0,1.5338
25.0,0.0,30.0,20.0,0.0,1.5527
25.0,0.0,35.0,15.0,0.0,1.5808
25.0,0.0,40.0,10.0,0.0,1.6112
25.0,0.0,45.0,5.0,0.0,1.6399
25.0,0.0,5.0,0.0,45.0,1.0840
25.0,0.0,10.0,0.0,40.0,1.0895
25.0,0.0,15.0,0.0,35.0,1.1303
25.0,0.0,20.0,0.0,30.0,1.1648
25.0,0.0,25.0,0.0,25.0,1.2043
25.0,0.0,30.0,0.0,20.0,1.2394
25.0,0.0,35.0,0.0,15.0,1.3139
25.0,0.0,40.0,0.0,10.0,1.4030
25.0,0.0,45.0,0.0,5.0,1.5165
25.0,0.0,0.0,5.0,45.0,1.0962
25.0,0.0,0.0,10.0,40.0,1.1152
25.0,0.0,0.0,15.0,35.0,1.1457
25.0,0.0,0.0,20.0,30.0,1.1747
25.0,0.0,0.0,25.0,25.0,1.2128
25.0,0.0,0.0,30.0,20.0,1.2407
25.0,0.0,0.0,35.0,15.0,1.2867
25.0,0.0,0.0,40.0,10.0,1.3364
25.0,0.0,0.0,45.0,5.0,1.3898
0.0,25.0,5.0,45.0,0.0,1.5589
0.0,25.0,10.0,40.0,0.0,1.5768
0.0,25.0,15.0,35.0,0.0,1.5976
0.0,25.0,20.0,30.0,0.0,1.6201
0.0,25.0,25.0,25.0,0.0,1.6485
0.0,25.0,30.0,20.0,0.0,1.6714
0.0,25.0,35.0,15.0,0.0,1.7028
0.0,25.0,40.0,10.0,0.0,1.7360
0.0,25.0,45.0,5.0,0.0,1.7705
0.0,25.0,5.0,0.0,45.0,1.0822
0.0,25.0,10.0,0.0,40.0,1.0978
0.0,25.0,15.0,0.0,35.0,1.1590
0.0,25.0,20.0,0.0,30.0,1.2103
0.0,25.0,25.0,0.0,25.0,1.2897
0.0,25.0,30.0,0.0,20.0,1.3389
0.0,25.0,35.0,0.0,15.0,1.4334
0.0,25.0,40.0,0.0,10.0,1.5463
0.0,25.0,45.0,0.0,5.0,1.6689
0.0,25.0,0.0,5.0,45.0,1.0931
0.0,25.0,0.0,10.0,40.0,1.1212
0.0,25.0,0.0,15.0,35.0,1.1634
0.0,25.0,0.0,20.0,30.0,1.2030
0.0,25.0,0.0,25.0,25.0,1.2519
0.0,25.0,0.0,30.0,20.0,1.2922
